index,twitter_total,none_correlation,entity_correlation,verb_correlation,context_correlation,Noun,Name,Word,Verb,Scene
1,You should go HIV/AIDS testing!!,,,,,1,0,0,0,1
2,Ow!!!emmm!!!geee!! #weakness #DecemberWish,,,,,1,0,0,0,0
3,My #DecemberWish-es.. Alam nyo na ah? Hahaha,,,,,0,0,0,0,0
4,Just stuck my finger with my machine's needle. Band-aids are all the way upstairs so I improvised. #dedication,,,,,1,0,0,1,0
5,Seriously? They would make this at the coffee shop right by the police station #baconlattes #policedrink #smartbusiness,,,,,0,0,0,0,0
6,"like if you are against abortion. RIP all babies who were killed because we have the ""right to chose"" #sowrong #sosad #ripbabies #prolife #aniabortion #stopthis",,,,,1,0,0,0,0
7,Do we really need AKB48 on a poster for the Tokyo gubernatorial election?,,,,,1,1,1,0,1
8,#Cancer - what you'll wear to Gemmas birthday.,,,,,0,0,0,1,0
9,Runner up for NFL Fan Jersey Of The Day from the Chiefs game (via @MrAaronMiller3),,,,,1,0,0,0,0
10,Cute daddy daughter  #president #obama,,,,,0,1,0,0,0
11,It's going down 2nite !!!! My bday celebration continues...... #Part1 was LURE... #Part2 was Roxbury now for #Part3 2nite @ club Premiere 1710 Las Palmas off Hollywood & Las Palmas wit the #SupremeTeam @GREENLIGHTENTLA @JMAGGETTE @ADIB110 @GARYBLACKOUT @THESUPREMETEAM1 #turnupneverturndown #BentleyBoyz #RollieBoyz #jesuspiece #BirthdaySwag,,,,,1,0,0,0,0
12,My handsome nephew Cairo!! #cairo,,,,,1,0,0,0,0
13,@nymediacares #hurricanesandy #reliefeffort #statenisland  #volunteer,,,,,1,0,0,0,0
14,Last nights amazing benefit for the #StatenIsland victims of #hurricanesandy thank you to everyone who came out and donated and to @miamoretti and @djskribble for major sets. We raised almost $50k for the Bini fund! #thankyou #helpsi #yachtparty #westvillage #nyc #givingback #dance #appreciate,,,,,1,0,1,0,0
15,I'm falling In love with u <3 | Created with the Free @Versagram App!  #vbf1 #blackfriday #shopping #leftovers #text #versagram #versalove‰ª´,,,,,0,0,0,0,0
16,Taping Shaniqua's  windows for #hurricanesandy #embarrassyourbestfriendday nicole ardelean :),,,,,1,0,0,0,0
17,Loved this dress by Zimmerman from last night!,,,,,1,0,0,0,0
18,Jenna Susson Abortion Doctor _ÙÕä,,,,,0,1,0,0,1
19,This all washed up in the backyard #hurricanesandy,,,,,1,0,0,0,1
20,I bought a lot on #BlackFriday but this is definitely high on my list of #WINNING!!,,,,,0,1,0,1,0
21,#DecemberWish,,,,,0,0,0,0,0
22,Ouch mr police man,,,,,1,1,0,1,0
23,Diet police are on annual leave,,,,,1,0,0,0,0
24,Ahhh Manny is in my religion book! ‰__ #lovehim,,,,,0,1,0,0,0
25,"You're a whole different person when you're afraid.Gig tonight. Tokyo Shock. Lets go dark. #dj #aids #dmv",,,,,0,1,0,0,
26,My #DecemberWish _ÙÕ__ÙÕÏ‰ù_,,,,,0,0,0,0,1
27,Before #HurricaneSandy #oceangate,,,,,1,0,0,0,0
28,Twins at work! _ÙÕ_ @faithpierce #rva #loft #anntaylorloft #blackfriday #leopard,,,,,1,0,0,0,0
29,Religion is Like a Penis & God is the Asshole of the Universe. Happy Int'l Blasphemy Day!,,,,,0,0,1,0,0
30,Beautiful Windy Warm December 2nd. #globalwarming :),,,,,1,0,0,0,0
